#,Zip Code,Location,City,Population,People / Sq. Mile,National Rank
1,37212,"36.133973, -86.801471","Nashville, Tennessee",18547,6556.46,"#1,154"
2,37201,"36.165550, -86.777679","Nashville, Tennessee",1167,3602.97,"#2,655"
3,37206,"36.180771, -86.730153","Nashville, Tennessee",27751,3597.99,"#2,660"
4,37208,"36.178567, -86.805263","Nashville, Tennessee",15272,3416.62,"#2,807"
5,37219,"36.166457, -86.782946","Nashville, Tennessee",830,3259.85,"#2,964"
6,37211,"36.066734, -86.722609","Nashville, Tennessee",64753,3030.86,"#3,168"
7,37203,"36.149926, -86.789227","Nashville, Tennessee",12781,3025.69,"#3,172"
8,37216,"36.216583, -86.726843","Nashville, Tennessee",19132,2791.23,"#3,443"
9,37210,"36.149265, -86.732957","Nashville, Tennessee",16170,1747.7,"#4,837"
10,37207,"36.238944, -86.779883","Nashville, Tennessee",35744,1712.06,"#4,897"
11,37204,"36.106277, -86.773949","Nashville, Tennessee",11024,1491.97,"#5,270"
12,37217,"36.113155, -86.667020","Nashville, Tennessee",28293,1488.46,"#5,275"
13,37205,"36.103877, -86.869505","Nashville, Tennessee",21861,1412.27,"#5,405"
14,37215,"36.080535, -86.833278","Nashville, Tennessee",22112,1382.95,"#5,463"
15,37214,"36.197795, -86.673345","Nashville, Tennessee",26474,1260.43,"#5,731"
16,37209,"36.150239, -86.966459","Nashville, Tennessee",35081,986.29,"#6,368"
17,37220,"36.068452, -86.793116","Nashville, Tennessee",6163,797.85,"#6,892"
18,37221,"36.063625, -86.977097","Nashville, Tennessee",34809,753.76,"#7,055"
19,37218,"36.209917, -86.889939","Nashville, Tennessee",15079,367.31,"#9,079"
20,37228,"36.196291, -86.803583","Nashville, Tennessee",331,274.09,"#9,986"
21,37213,"36.166795, -86.766631","Nashville, Tennessee",137,188.67,"#11,277"
